Timestamp,GasPriceOpen,GasPriceClose,GasPriceLow,GasPriceHigh,avgGas,Samples,average_gas_price
2021-09-29T22:07:21.000Z,115.87,101.71,42.78,719.22,97750.2789401575,127,308.3625
2021-09-28T22:08:23.000Z,82.58,74.28,38.5,694.42,96208.3472627907,129,60.5
2021-09-27T22:01:57.000Z,50.1,86.38,39.03,720.41,100211.55621406248,128,26.47
2021-09-26T22:09:52.000Z,65.36,89.73,35.02,386.11,94019.56385625,128,350.52
2021-09-25T22:02:47.000Z,48.82,46.88,29.56,1152.63,104800.97857286828,129,219.0
2021-09-24T22:02:23.000Z,34.8,66.35,25.94,216.05,94451.39349083972,131,30.25
2021-09-23T22:05:46.000Z,75.48,105.37,33.24,166.7,92035.17778062011,129,16.7875
2021-09-22T22:08:06.000Z,79.06,54.04,37.13,216.93,88937.5073125,128,75.05
2021-09-21T22:00:13.000Z,56.43,138.84,34.32,191.69,90597.76321782947,129,300.575
2021-09-20T22:07:54.000Z,154.12,53.28,33.0,586.06,87301.33185461539,130,48.3
2021-09-19T22:00:36.000Z,67.22,74.58,32.47,296.05,100860.72777846154,130,133.35
2021-09-18T22:06:16.000Z,60.71,50.74,27.97,720.0,94847.78378992248,129,34.25
2021-09-17T22:08:38.000Z,64.26,72.54,32.62,162.46,94439.59019153846,130,41.35
2021-09-16T22:08:29.000Z,48.91,64.22,41.11,184.01,86649.78014418604,129,47.25
2021-09-15T22:11:18.000Z,67.82,112.67,38.86,1129.85,94788.6929503876,129,45.0
2021-09-14T22:03:46.000Z,75.53,42.47,29.66,209.43,87811.57283076923,130,44.75
2021-09-13T22:03:35.000Z,48.47,72.82,32.07,2685.15,87947.74395271321,129,99.41
2021-09-12T22:01:41.000Z,50.0,66.31,40.36,573.0,87036.23770310078,129,32.5
2021-09-11T22:01:23.000Z,53.35,73.38,31.71,236.5,94198.67406461542,130,30.0
2021-09-10T22:09:57.000Z,53.44,139.96,42.69,139.96,87948.57067031246,128,33.5
2021-09-09T22:05:36.000Z,106.7,88.67,57.29,1178.08,87350.03019844962,129,15.0
2021-09-08T22:06:40.000Z,70.12,134.85,66.84,3300.0,94371.64388139534,129,16.0
2021-09-07T22:03:19.000Z,111.3,181.52,60.0,642.01,94182.71690461534,130,43.9
2021-09-06T22:08:02.000Z,133.0,133.17,67.6,7500.0,85171.3006658915,129,24.935000000000002
2021-09-05T22:00:15.000Z,116.76,108.0,66.56,548.74,85641.37088384618,130,40.6
2021-09-04T22:06:37.000Z,185.0,143.31,57.27,261.17,90822.90951000004,110,71.85
2021-09-03T22:09:08.000Z,131.42,313.18,62.0,351.85,81827.4753550388,129,39.56
2021-09-02T22:08:29.000Z,240.0,231.83,64.78,728.88,88449.55486744188,129,10.2
2021-09-01T22:01:09.000Z,84.82,125.61,59.0,223.51,82701.18451969697,132,129.25
2021-08-31T22:07:06.000Z,156.23,125.55,60.0,4181.56,89492.97013750004,128,64.5
2021-08-30T22:08:26.000Z,91.9,132.29,56.0,1883.3,91912.86715658916,129,35.75
2021-08-29T22:04:54.000Z,140.37,107.04,41.0,2300.27,88079.9799877863,131,59.75
2021-08-28T22:01:47.000Z,95.84,62.99,36.26,2332.22,98818.05366769237,130,20.75
2021-08-27T22:05:49.000Z,61.65,186.0,40.29,456.97,91559.550448062,129,21.8375
2021-08-26T22:05:01.000Z,81.48,74.8,49.0,844.02,95563.393240625,128,143.25
2021-08-25T22:04:07.000Z,88.32,655.7,44.62,784.87,92846.04363053432,131,16.5
2021-08-24T22:02:51.000Z,76.73,95.21,46.85,291.56,84622.962034375,128,48.0
2021-08-23T22:07:05.000Z,83.42,56.41,33.64,350.0,86932.59669,130,17.495
2021-08-22T22:00:31.000Z,80.17,26.61,25.92,266.48,81844.23955193798,129,23.05
2021-08-21T22:03:30.000Z,24.98,41.62,16.33,88.88,83871.03880230764,130,90.575
2021-08-20T22:05:53.000Z,51.63,31.0,18.33,218.94,82858.45553410848,129,40.375
2021-08-19T22:01:19.000Z,49.0,39.2,18.74,107.36,85749.61715348845,129,20.5
2021-08-18T22:09:10.000Z,38.0,30.0,18.0,2300.0,90996.50420461538,130,15.75
2021-08-17T22:03:18.000Z,34.75,45.08,23.58,301.68,83103.56617441859,129,23.75
2021-08-16T22:10:23.000Z,50.63,75.98,27.29,222.73,78486.74586307688,130,18.5
2021-08-15T22:01:00.000Z,51.76,45.1,30.0,500.0,90145.06547404584,131,21.175
2021-08-14T22:11:40.000Z,41.94,45.0,22.66,1558.0,84964.53318604657,129,19.0
2021-08-13T22:02:29.000Z,56.39,137.0,26.24,1300.0,94134.08013692305,130,28.0
2021-08-12T22:08:07.000Z,83.0,272.0,25.0,272.0,85785.48408294567,129,13.75
2021-08-11T22:06:14.000Z,335.96,55.0,27.17,444.0,89709.7130323077,130,34.975
